,START DATE(UTC),DURATION,DAY OF THE WEEK
494,2019-05-25,19.4025,Thursday
495,2019-05-26,20.174722222222222,Friday
496,2019-05-27,17.70916666666667,Saturday
497,2019-06-10,20.815277777777776,Sunday
498,2019-06-11,17.1025,Monday
499,2019-06-12,30.94388888888889,Tuesday
500,2019-06-14,13.639166666666666,Wednesday
501,2019-06-15,21.643055555555556,Thursday
502,2019-06-16,38.71611111111111,Friday
503,2019-06-17,25.13083333333333,Saturday
504,2019-06-18,24.959722222222222,Sunday
505,2019-06-19,4.6625,Monday
506,2019-06-20,36.73777777777778,Tuesday
507,2019-06-21,4.107777777777778,Wednesday
508,2019-06-22,17.630277777777778,Thursday
509,2019-06-23,45.066944444444445,Friday
510,2019-06-25,24.085555555555555,Saturday
511,2019-06-26,20.553055555555556,Sunday
512,2019-06-27,22.781388888888888,Monday
513,2019-06-28,17.741944444444446,Tuesday
514,2019-06-29,17.379166666666666,Wednesday
515,2019-06-30,39.93333333333334,Thursday
516,2019-07-01,6.532222222222223,Friday
517,2019-07-02,39.159166666666664,Saturday
518,2019-07-03,4.6975,Sunday
519,2019-07-04,21.921666666666667,Monday
520,2019-07-05,32.70611111111111,Tuesday
521,2019-07-06,4.94,Wednesday
522,2019-07-07,59.6375,Thursday
523,2019-07-09,3.507222222222222,Friday
524,2019-07-10,21.8875,Saturday
525,2019-07-11,20.219444444444445,Sunday
526,2019-07-15,20.495833333333334,Monday
527,2019-07-16,33.77638888888889,Tuesday
528,2019-07-17,23.760277777777777,Wednesday
529,2019-07-18,7.108888888888889,Thursday
530,2019-07-19,21.17027777777778,Friday
531,2019-07-20,42.7025,Saturday
532,2019-07-21,3.4675,Sunday
533,2019-07-22,46.60861111111111,Monday
534,2019-07-23,5.52,Tuesday
535,2019-07-24,19.554166666666667,Wednesday
536,2019-07-25,38.31666666666666,Thursday
537,2019-07-26,4.034722222222222,Friday
538,2019-07-27,17.47111111111111,Saturday
539,2019-07-28,22.691944444444445,Sunday
540,2019-07-29,22.457500000000003,Monday
541,2019-07-30,23.901944444444442,Tuesday
542,2019-07-31,3.7280555555555557,Wednesday
543,2019-08-01,41.265277777777776,Thursday
544,2019-08-02,3.609722222222222,Friday
545,2019-08-03,16.145555555555557,Saturday
546,2019-08-04,35.7025,Sunday
547,2019-08-05,19.68888888888889,Monday
548,2019-08-06,4.736388888888889,Tuesday
549,2019-08-07,20.754722222222224,Wednesday
550,2019-08-08,20.148333333333333,Thursday
551,2019-08-09,19.226944444444445,Friday
552,2019-08-10,13.811388888888889,Saturday
553,2019-08-11,33.75416666666666,Sunday
554,2019-08-12,2.5411111111111113,Monday
555,2019-08-13,16.763333333333335,Tuesday
556,2019-08-14,18.82111111111111,Wednesday
557,2019-08-15,24.6075,Thursday
558,2019-08-17,14.081666666666667,Friday
559,2019-08-18,35.82666666666667,Saturday
560,2019-08-19,13.29,Sunday
561,2019-08-20,14.286111111111111,Monday
